"time","event","gene_id","strand","ES","EE","I_S1","S_S1","I_S2","S_S2","FDR","dPSI"
105,"SE","Solyc02g062640.4","+",32393149,32393397,"216,233,226","5,0,6","271,177,168","36,7,12",2.44124565167442e-06,0.105
105,"SE","Solyc02g062640.4","+",32393024,32393397,"216,237,223","5,0,6","271,177,168","36,7,12",2.38887966893053e-06,0.104
105,"SE","Solyc02g062640.4","+",32393186,32393397,"218,233,226","5,0,6","276,177,168","36,7,12",2.38634464571555e-06,0.104
105,"SE","Solyc02g062640.4","+",32393231,32393397,"216,233,223","5,0,6","272,177,170","36,7,12",2.7898798679511e-06,0.104
105,"SE","Solyc02g062640.4","+",32393020,32393397,"252,269,260","5,0,6","286,180,183","36,7,12",3.68244749338986e-07,0.102
105,"SE","Solyc02g062640.4","+",32393289,32393397,"194,215,201","5,0,6","240,159,149","36,7,12",1.8866510905131e-06,0.102
50,"SE","Solyc02g063450.4","-",33568573,33568672,"0,1,1","7,15,10","12,10,3","14,8,22",0.000413280080315205,-0.25
60,"SE","Solyc02g063450.4","-",33568573,33568621,"0,0,0","20,6,32","0,7,3","9,8,7",0.000505934582937705,-0.214
90,"SE","Solyc02g068380.3","-",36350528,36350647,"305,347,307","13,20,31","178,231,228","49,56,40",7.09620406585624e-10,0.185
105,"SE","Solyc02g068380.3","-",36350528,36350647,"275,284,249","27,32,15","234,158,215","40,29,49",0.000477853222959016,0.119
30,"SE","Solyc02g078820.3","+",41460356,41460482,"15,37,17","25,29,48","11,10,4","61,53,48",0.000645507902012165,0.197
40,"SE","Solyc02g078820.3","+",41460422,41460482,"19,17,10","65,36,39","6,3,3","54,65,44",0.000257273187225795,0.143
70,"SE","Solyc02g079040.3","+",41647874,41647950,"276,274,246","3,0,0","180,207,176","12,18,15",1.07186926001516e-11,0.102
90,"SE","Solyc02g079040.3","+",41647874,41647950,"169,433,264","1,12,0","225,202,246","19,30,22",1.93514609098849e-11,0.122
105,"SE","Solyc02g079040.3","+",41647874,41647950,"220,253,165","6,3,2","208,175,176","30,78,35",0,0.245
120,"SE","Solyc02g079040.3","+",41647874,41647950,"254,165,148","1,0,3","123,168,258","35,48,40",0,0.252
120,"SE","Solyc02g079040.3","+",41651583,41651819,"121,109,104","0,0,0","107,99,84","13,6,2",1.10221212792258e-06,0.116
25,"SE","Solyc02g081340.3","+",43327542,43327599,"77,89,77","2,2,2","91,75,74","13,9,13",0.000217434274762226,0.134
50,"SE","Solyc02g081340.3","+",43327562,43327599,"80,114,127","5,5,4","93,68,75","24,38,26",3.29072186167139e-11,0.265
70,"SE","Solyc02g081340.3","+",43327562,43327599,"109,75,153","8,4,0","65,109,86","34,49,47",0,0.338
80,"SE","Solyc02g081340.3","+",43327562,43327599,"124,152,119","7,10,4","56,71,63","20,37,28",0,0.292
80,"SE","Solyc02g081340.3","+",43327551,43327599,"148,166,153","7,10,4","70,87,70","20,37,28",0,0.271
80,"SE","Solyc02g081340.3","+",43327550,43327663,"145,169,184","7,10,4","171,173,158","20,37,28",1.33618465846318e-06,0.158
90,"SE","Solyc02g081340.3","+",43327550,43327751,"248,271,300","4,15,6","197,270,217","31,41,34",8.82990650294593e-12,0.181
105,"SE","Solyc02g081340.3","+",43327550,43327819,"228,218,172","7,4,4","381,207,164","43,30,28",2.42326498166631e-10,0.176
105,"SE","Solyc02g081340.3","+",43327550,43327663,"186,183,155","7,4,4","332,181,144","43,30,28",6.61453236692771e-10,0.175
120,"SE","Solyc02g081340.3","+",43327550,43327639,"177,133,143","3,10,4","207,146,145","43,30,20",5.69809961214965e-09,0.167
5,"SE","Solyc02g082490.4","+",44187853,44187972,"37,57,47","5,7,2","87,90,81","0,2,0",0.000491832196534524,-0.137
60,"SE","Solyc02g082490.4","+",44187853,44187943,"1,5,5","3,0,0","0,0,0","16,3,4",1.91126090908287e-06,0.724
60,"SE","Solyc02g082490.4","+",44187853,44187972,"73,62,81","3,0,0","54,62,48","16,3,4",0.000153078069191402,0.163
60,"SE","Solyc02g082490.4","+",44187777,44187943,"66,133,102","3,0,0","89,103,102","16,3,4",0.000491890475531322,0.103
60,"SE","Solyc02g082490.4","+",44187777,44188107,"64,128,102","3,0,0","91,103,102","16,3,4",0.00055893272547876,0.101
70,"SE","Solyc02g082490.4","+",44187853,44187972,"73,55,55","0,1,0","75,38,43","5,5,4",0.000224014668130602,0.136
90,"SE","Solyc02g082490.4","+",44187853,44187972,"30,75,52","0,1,0","42,45,66","13,19,3",1.40255218608429e-07,0.281
90,"SE","Solyc02g082490.4","+",44187777,44188107,"113,129,65","0,1,0","89,88,73","13,19,3",2.41838676031451e-09,0.196
90,"SE","Solyc02g082490.4","+",44187777,44187972,"158,224,135","0,1,0","142,146,158","13,19,3",4.27220192184015e-09,0.13
105,"SE","Solyc02g082490.4","+",44187777,44187943,"79,80,74","0,0,0","78,91,83","15,3,6",7.79108811883594e-07,0.155
105,"SE","Solyc02g082490.4","+",44187777,44188107,"71,83,70","0,0,0","78,91,83","15,3,6",9.55806814944816e-07,0.155
105,"SE","Solyc02g082490.4","+",44187777,44187972,"144,139,134","0,0,0","124,143,127","15,3,6",8.59834332863305e-07,0.107
120,"SE","Solyc02g082490.4","+",44187853,44187972,"44,40,54","2,0,0","35,43,35","7,11,5",6.61423859051468e-07,0.236
80,"SE","Solyc02g084440.4","-",45535162,45535306,"2,3,3","0,0,0","4,8,7","0,10,10",2.36799976625446e-05,0.483
120,"SE","Solyc02g084440.4","-",45535249,45535306,"2,1,1","0,0,0","2,0,0","11,69,8",2.64769280652504e-09,0.961
120,"SE","Solyc02g084440.4","-",45535255,45535306,"2,5,1","0,0,0","2,0,0","11,69,8",5.32598656535382e-14,0.96
105,"SE","Solyc02g084640.4","+",45755843,45755975,"174,130,137","10,4,6","201,130,121","26,20,18",0.000173101187714163,0.137
105,"SE","Solyc02g084640.4","+",45755854,45755975,"174,131,137","10,4,6","198,126,121","26,20,18",0.000129398937746443,0.136
120,"SE","Solyc02g084640.4","+",45755843,45755975,"229,108,129","10,5,3","136,116,102","15,26,23",7.56729156722668e-07,0.19
120,"SE","Solyc02g084640.4","+",45755854,45755975,"229,107,129","10,5,3","136,114,102","15,26,23",6.94530054174684e-07,0.186
70,"SE","Solyc02g086710.3","+",47367023,47367488,"542,422,498","0,0,0","518,580,537","68,0,38",0,0.111
80,"SE","Solyc02g086710.3","+",47367023,47367488,"506,485,541","0,1,4","554,516,432","33,29,34",0,0.108
90,"SE","Solyc02g086710.3","+",47367023,47367488,"584,743,534","5,0,7","561,521,584","46,53,47",0,0.135
105,"SE","Solyc02g086710.3","+",47367023,47367488,"356,463,447","3,0,0","601,408,456","66,50,58",0,0.188
30,"SE","Solyc02g089220.4","-",49142488,49142663,"150,113,78","7,5,9","103,122,105","21,27,25",0.000206443137174808,0.189
30,"SE","Solyc02g089220.4","-",49142488,49142660,"291,245,190","7,5,9","257,292,220","21,27,25",0.000206443137174808,0.103
105,"SE","Solyc02g089220.4","-",49142488,49142663,"130,131,128","13,5,6","150,103,101","25,24,27",1.54225777744966e-05,0.197
105,"SE","Solyc02g089220.4","-",49142488,49142660,"243,285,313","13,5,6","301,214,233","25,24,27",1.99640519736789e-06,0.115
120,"SE","Solyc02g089220.4","-",49142488,49142660,"283,226,289","8,10,3","228,208,191","17,19,22",1.96563790029087e-05,0.105
20,"SE","Solyc02g089980.3","+",49713582,49713761,"60,58,39","2,0,1","57,56,57","5,7,15",0.000328619417926245,0.194
20,"SE","Solyc02g089980.3","+",49713610,49713669,"14,21,29","2,0,1","40,30,55","5,7,15",0.00894875515030426,0.153
90,"SE","Solyc02g089980.3","+",49713582,49713761,"31,69,60","0,0,0","66,35,45","14,18,16",4.0219035831379e-14,0.407
90,"SE","Solyc02g089980.3","+",49713582,49713669,"75,170,143","0,0,0","141,101,108","14,18,16",4.0219035831379e-14,0.182
105,"SE","Solyc02g089980.3","+",49713582,49713669,"76,154,99","6,2,0","106,109,86","14,16,10",1.86752391802961e-05,0.129
105,"SE","Solyc02g092560.3","-",51665532,51665752,"31,21,33","0,0,0","22,15,16","3,5,0",0.000824351574390001,0.205
120,"SE","Solyc02g092560.3","-",51665482,51665674,"62,45,44","0,0,0","46,62,46","4,0,7",0.000590322505672074,0.127
105,"SE","Solyc02g092920.4","+",51932314,51932401,"120,149,138","0,0,0","116,85,96","13,7,13",3.91152914502998e-11,0.148
120,"SE","Solyc02g092920.4","+",51932314,51932401,"145,130,121","6,0,3","76,89,102","12,16,12",2.83663262242502e-07,0.16
80,"SE","Solyc02g093030.3","-",52037101,52037203,"66,46,53","0,0,4","38,43,50","13,5,7",0.000121236995415486,0.203
80,"SE","Solyc02g093030.3","-",52037101,52037207,"121,97,119","0,0,4","99,92,113","13,5,7",0.000105083733123395,0.103
105,"SE","Solyc02g093030.3","-",52035505,52035935,"31,46,64","0,0,0","71,37,34","8,1,3",0.000179538116048396,0.128
105,"SE","Solyc02g093030.3","-",52035867,52035914,"35,34,53","0,0,0","49,24,31","8,1,3",0.000190768267561464,0.114
30,"SE","Solyc03g005120.3","-",93356,93402,"127,124,99","7,5,8","108,151,121","23,17,30",0.000810758471503389,0.126
50,"SE","Solyc03g005120.3","-",93356,93402,"133,168,164","14,7,11","108,84,113","33,21,12",0.000817079961273787,0.134
70,"SE","Solyc03g005120.3","-",93356,93402,"120,96,100","13,12,0","86,105,122","35,29,43",2.8531136131522e-07,0.221
80,"SE","Solyc03g005120.3","-",93356,93402,"134,127,120","10,2,9","109,122,77","29,25,32",3.55894611887796e-08,0.208
80,"SE","Solyc03g005120.3","-",93357,93489,"329,313,319","10,2,9","305,273,298","29,25,32",1.8170573712354e-08,0.117
90,"SE","Solyc03g005120.3","-",93356,93402,"143,203,196","12,28,12","109,121,111","34,34,34",4.0348062811271e-07,0.173
120,"SE","Solyc03g005120.3","-",93356,93402,"146,105,180","9,4,13","100,79,106","18,46,38",3.67819775291424e-08,0.245
120,"SE","Solyc03g005120.3","-",93105,93489,"416,263,325","9,4,13","371,338,366","18,46,38",8.43671192293358e-07,0.11
80,"SE","Solyc03g025600.3","+",2978895,2979089,"38,41,26","3,0,0","25,19,30","8,2,6",0.000706335386075057,0.238
80,"SE","Solyc03g025600.3","+",2979009,2979094,"57,60,54","3,0,0","49,34,38","8,2,6",0.000552151407146083,0.137
90,"SE","Solyc03g025600.3","+",2978895,2979089,"49,51,46","0,0,0","16,22,11","1,6,5",1.15327199149337e-06,0.313
90,"SE","Solyc03g025600.3","+",2978947,2979089,"49,53,44","0,0,0","16,22,11","1,6,5",1.25445523167687e-06,0.309
90,"SE","Solyc03g026300.4","-",3720783,3720884,"10,16,11","1,10,5","17,36,48","2,0,2",0.000711912819641355,-0.286
105,"SE","Solyc03g026300.4","-",3720783,3720884,"11,13,5","198,212,205","45,39,39","172,114,125",0,-0.127
120,"SE","Solyc03g026300.4","-",3720783,3720884,"12,14,23","244,187,233","25,35,61","143,103,132",1.11662364236565e-10,-0.117
50,"SE","Solyc03g031730.3","-",4096299,4096448,"91,74,87","0,0,0","102,51,34","2,6,6",9.00918976461426e-05,0.163
50,"SE","Solyc03g031730.3","-",4096176,4096448,"91,75,90","0,0,0","97,53,34","2,6,6",8.24780599781669e-05,0.162
60,"SE","Solyc03g031730.3","-",4096176,4096448,"71,57,42","0,1,0","50,58,97","3,6,7",0.000386109362807337,0.123
60,"SE","Solyc03g031730.3","-",4096299,4096448,"75,65,42","0,1,0","51,62,98","3,6,7",0.000373696849024376,0.121
105,"SE","Solyc03g031730.3","-",4096176,4096448,"68,67,67","0,0,0","69,82,73","1,4,11",7.87194774769694e-05,0.116
105,"SE","Solyc03g031730.3","-",4096299,4096448,"61,68,68","0,0,0","62,88,76","1,4,11",8.58383556259885e-05,0.113
50,"SE","Solyc03g043950.4","+",7043831,7043929,"496,529,583","13,14,17","424,287,314","46,25,48",1.1103388050248e-11,0.117
70,"SE","Solyc03g043950.4","+",7043835,7043929,"264,199,268","12,35,14","176,142,129","43,55,65",4.97786587100071e-08,0.251
70,"SE","Solyc03g043950.4","+",7043831,7043929,"504,456,509","12,35,14","362,307,325","43,55,65",5.10413933341353e-13,0.149
90,"SE","Solyc03g043950.4","+",7043831,7043929,"513,735,591","35,52,24","341,344,415","55,64,52",2.27556465082232e-08,0.116
105,"SE","Solyc03g043950.4","+",7043835,7043929,"241,262,212","24,24,40","215,131,136","64,46,62",2.05687783527283e-07,0.204
105,"SE","Solyc03g043950.4","+",7043831,7043929,"479,527,490","24,24,40","551,308,300","64,46,62",3.00991748696444e-07,0.116
120,"SE","Solyc03g043950.4","+",7043804,7043929,"364,278,321","26,25,37","136,151,156","46,57,47",2.78325749544296e-13,0.239
120,"SE","Solyc03g043950.4","+",7043831,7043929,"685,541,595","26,25,37","260,300,363","46,57,47",3.95695780392177e-12,0.14
5,"SE","Solyc03g062665.1","+",27799852,27800108,"0,2,0","1,2,2","1,5,7","0,0,0",1.25141637250648e-06,-0.889
5,"SE","Solyc03g062665.1","+",27799991,27800170,"5,1,0","1,2,2","1,1,2","0,0,0",0.000726729385277591,-0.695
15,"SE","Solyc03g062665.1","+",27799852,27800038,"8,11,14","0,0,0","2,10,3","4,0,6",0.0004306577248468,0.533
15,"SE","Solyc03g062665.1","+",27799971,27800038,"3,4,9","0,0,0","3,8,3","4,0,6",0.000870975521691191,0.468
15,"SE","Solyc03g062665.1","+",27799852,27800108,"3,7,3","0,0,0","10,5,4","4,0,6",0.000845984219931845,0.398
15,"SE","Solyc03g062665.1","+",27799971,27800108,"1,6,3","0,0,0","10,5,4","4,0,6",0.000906095356719768,0.392
15,"SE","Solyc03g062665.1","+",27799991,27800108,"2,8,5","0,0,0","14,2,5","4,0,6",0.000906095356719768,0.34
15,"SE","Solyc03g062665.1","+",27799991,27800038,"5,8,10","0,0,0","8,7,8","4,0,6",0.000830449145021543,0.298
40,"SE","Solyc03g062665.1","+",27797827,27797994,"48,55,45","4,5,2","45,29,49","16,8,21",0.000144982882117885,0.285
40,"SE","Solyc03g062665.1","+",27797862,27797994,"95,97,91","4,5,2","83,55,93","16,8,21",4.2804831678153e-05,0.193
60,"SE","Solyc03g062665.1","+",27799852,27800022,"16,8,4","0,0,1","0,1,3","17,2,6",1.94135818532134e-11,0.756
60,"SE","Solyc03g062665.1","+",27799852,27800038,"3,10,16","0,0,1","7,16,5","17,2,6",4.59634379467886e-05,0.541
60,"SE","Solyc03g062665.1","+",27799856,27800022,"16,8,8","0,0,0","0,1,2","14,0,1",5.30334243789626e-05,0.5
60,"SE","Solyc03g062665.1","+",27799991,27800038,"6,5,8","0,0,1","6,16,7","17,2,6",0.000288831054425019,0.439
60,"SE","Solyc03g062665.1","+",27799865,27800022,"16,8,4","0,0,0","0,1,5","14,0,1",0.000766313468665222,0.429
60,"SE","Solyc03g062665.1","+",27799174,27799340,"10,14,11","0,0,1","32,24,19","17,2,6",0.000297633244813854,0.297
70,"SE","Solyc03g062665.1","+",27799991,27800170,"4,3,8","0,0,0","1,1,0","13,12,5",0,0.974
70,"SE","Solyc03g062665.1","+",27799991,27800038,"11,3,9","0,0,0","7,8,13","13,12,5",5.04313514621217e-08,0.57
70,"SE","Solyc03g062665.1","+",27801779,27801829,"69,58,50","0,0,0","56,56,70","5,7,8",5.19953303288881e-06,0.127
90,"SE","Solyc03g062665.1","+",27799852,27800022,"10,1,6","2,3,4","1,0,1","3,7,9",0.000339165976536013,0.363
90,"SE","Solyc03g062665.1","+",27801779,27801829,"51,134,52","0,0,0","44,46,28","2,0,14",0.000292990873124586,0.152
120,"SE","Solyc03g062665.1","+",27799991,27800022,"2,11,0","4,2,1","0,0,0","5,3,6",0.00065344640122138,0.371
70,"SE","Solyc03g063600.4","+",31214192,31214456,"508,526,373","8,21,15","266,261,290","33,14,46",1.17042686958239e-06,0.119
70,"SE","Solyc03g063600.4","+",31214192,31214480,"508,526,373","8,21,15","265,261,290","33,14,46",1.15916838768943e-06,0.119
70,"SE","Solyc03g063600.4","+",31214192,31214512,"511,526,373","8,21,15","265,263,292","33,14,46",1.19634642549911e-06,0.119
70,"SE","Solyc03g063600.4","+",31214192,31214521,"512,527,374","8,21,15","266,261,291","33,14,46",1.07169934590503e-06,0.119
80,"SE","Solyc03g063600.4","+",31214192,31214456,"333,328,370","0,4,10","298,211,211","21,30,6",5.59700250215284e-07,0.108
80,"SE","Solyc03g063600.4","+",31214192,31214512,"333,332,367","0,4,10","299,211,211","21,30,6",5.60090151807042e-07,0.107
80,"SE","Solyc03g063600.4","+",31214192,31214521,"333,340,367","0,4,10","308,211,213","21,30,6",6.32579016056817e-07,0.106
90,"SE","Solyc03g063600.4","+",31214192,31214512,"319,492,295","12,0,0","308,257,339","21,34,52",0,0.165
90,"SE","Solyc03g063600.4","+",31214192,31214521,"319,490,297","12,0,0","307,258,340","21,34,52",0,0.164
105,"SE","Solyc03g063600.4","+",31214192,31214456,"401,354,308","0,5,6","281,203,218","56,87,49",0,0.331
105,"SE","Solyc03g063600.4","+",31214192,31214521,"402,352,309","0,5,6","281,203,218","56,87,49",0,0.331
105,"SE","Solyc03g063600.4","+",31214192,31214322,"888,800,730","0,5,6","698,493,535","56,87,49",0,0.166
105,"SE","Solyc03g063600.4","+",31214025,31214456,"203,244,179","0,3,0","145,82,104","11,19,4",2.66225934420083e-09,0.165
105,"SE","Solyc03g063600.4","+",31214025,31214521,"204,242,180","0,3,0","145,82,104","11,19,4",2.66225934420083e-09,0.165
120,"SE","Solyc03g063600.4","+",31214192,31214512,"360,265,256","0,1,3","221,285,275","66,82,38",0,0.309
120,"SE","Solyc03g063600.4","+",31214192,31214521,"361,265,257","0,1,3","224,282,275","66,82,38",0,0.309
120,"SE","Solyc03g063600.4","+",31214192,31214322,"799,665,616","0,1,3","583,629,637","66,82,38",0,0.153
70,"SE","Solyc03g078080.4","+",44581775,44581899,"266,215,272","7,10,0","225,211,234","28,14,19",6.92256825363721e-06,0.1
90,"SE","Solyc03g078080.4","+",44581785,44581867,"289,392,296","6,2,12","266,255,273","20,29,52",8.63085749658588e-12,0.128
105,"SE","Solyc03g078080.4","+",44581507,44581867,"277,254,240","4,4,8","290,257,269","20,39,32",2.6196559793693e-09,0.142
105,"SE","Solyc03g078080.4","+",44581736,44581867,"278,254,240","4,4,8","290,257,269","20,39,32",2.06090306298173e-09,0.135
70,"SE","Solyc03g082660.3","+",47138956,47139125,"1712,1564,1000","0,0,0","664,774,510","39,45,28",0,0.103
90,"SE","Solyc03g082660.3","+",47138956,47139125,"1054,1732,1081","0,0,0","649,640,741","39,72,57",0,0.141
105,"SE","Solyc03g082660.3","+",47138956,47139125,"1192,1211,867","0,0,0","634,644,648","62,79,83",0,0.188
105,"SE","Solyc03g082660.3","+",47138724,47138923,"1941,1771,1350","0,0,0","1213,1352,1265","62,79,83",0,0.105
105,"SE","Solyc03g082660.3","+",47138724,47139177,"1941,1771,1350","0,0,0","1213,1350,1267","62,79,83",0,0.105
105,"SE","Solyc03g082660.3","+",47138724,47138869,"1941,1771,1350","0,0,0","1213,1348,1266","62,79,83",0,0.104
120,"SE","Solyc03g082660.3","+",47138786,47139125,"1029,790,884","0,0,0","564,622,702","73,77,67",0,0.188
120,"SE","Solyc03g082660.3","+",47138956,47139125,"1029,790,884","0,0,0","575,635,706","73,77,67",0,0.186
120,"SE","Solyc03g082660.3","+",47138724,47139177,"1412,1187,1411","0,0,0","1361,1235,1216","73,77,67",0,0.102
105,"SE","Solyc03g083010.3","+",47433050,47433133,"74,35,45","0,0,0","90,29,44","9,5,12",3.91530231152183e-08,0.215
105,"SE","Solyc03g083010.3","+",47433398,47433499,"68,59,37","0,0,0","78,50,42","9,5,12",4.72804693336278e-08,0.21
120,"SE","Solyc03g083010.3","+",47437125,47437188,"9,13,13","46,43,29","25,23,28","24,22,30",0.000106479256253327,-0.236
120,"SE","Solyc03g083010.3","+",47433050,47433133,"37,33,41","0,0,2","27,35,31","5,8,7",4.5076955122123e-06,0.225
120,"SE","Solyc03g083010.3","+",47433398,47433499,"64,33,62","0,0,2","64,67,59","5,8,7",8.62443863507526e-05,0.133
40,"SE","Solyc03g097060.4","-",53986331,53986730,"4,6,5","3,1,0","2,1,0","8,11,7",5.5293517448775e-05,0.665
40,"SE","Solyc03g097060.4","-",53986331,53986776,"16,10,16","3,1,0","14,8,3","8,11,7",0.000333300335073075,0.55
40,"SE","Solyc03g097060.4","-",53986660,53986730,"52,23,50","3,1,0","26,27,30","8,11,7",1.85018765420207e-05,0.268
40,"SE","Solyc03g097060.4","-",53986660,53986776,"106,60,100","3,1,0","62,60,79","8,11,7",3.26468447506125e-05,0.164
40,"SE","Solyc03g097060.4","-",53986617,53986799,"136,112,118","3,1,0","104,113,112","8,11,7",0.000110794734225655,0.116
40,"SE","Solyc03g097060.4","-",53986331,53986799,"138,118,123","3,1,0","106,113,112","8,11,7",8.84832649786964e-05,0.115
60,"SE","Solyc03g097060.4","-",53986660,53986776,"103,115,111","2,0,3","50,71,55","6,7,6",0.000374503844502817,0.136
60,"SE","Solyc03g097060.4","-",53986319,53986799,"181,193,145","2,0,3","77,116,78","6,7,6",0.000295767090592606,0.105
60,"SE","Solyc03g097060.4","-",53986617,53986799,"180,193,145","2,0,3","75,116,79","6,7,6",0.000291779951376726,0.105
60,"SE","Solyc03g097060.4","-",53986331,53986799,"180,193,145","2,0,3","77,120,77","6,7,6",0.00032105682639,0.104
70,"SE","Solyc03g097060.4","-",53986660,53986776,"115,142,100","0,1,1","67,68,60","13,5,6",6.07421813474042e-08,0.165
70,"SE","Solyc03g097060.4","-",53986319,53986799,"178,158,151","0,1,1","135,96,106","13,5,6",7.32332572462714e-07,0.111
70,"SE","Solyc03g097060.4","-",53986331,53986799,"179,161,150","0,1,1","135,95,106","13,5,6",6.67254373856667e-07,0.111
90,"SE","Solyc03g097060.4","-",53986319,53986776,"13,16,16","8,0,0","7,5,6","15,19,18",6.63434126276378e-06,0.667
90,"SE","Solyc03g097060.4","-",53986331,53986776,"7,6,16","8,0,0","5,5,7","15,19,18",0.000698433676845459,0.627
90,"SE","Solyc03g097060.4","-",53986617,53986776,"7,6,16","8,0,0","7,6,4","15,19,18",0.000703256067436017,0.626
90,"SE","Solyc03g097060.4","-",53986660,53986776,"103,141,106","8,0,0","80,62,74","15,19,18",1.41110315351693e-10,0.261
90,"SE","Solyc03g097060.4","-",53986319,53986799,"144,299,130","8,0,0","107,106,95","15,19,18",1.34181310751117e-12,0.219
90,"SE","Solyc03g097060.4","-",53986617,53986799,"138,289,130","8,0,0","107,107,93","15,19,18",2.88838341000607e-12,0.219
90,"SE","Solyc03g097060.4","-",53986331,53986799,"138,289,130","8,0,0","105,106,96","15,19,18",2.91527071843107e-12,0.218
90,"SE","Solyc03g097060.4","-",53986660,53986799,"263,436,230","8,0,0","186,165,169","15,19,18",4.45388581981753e-13,0.144
105,"SE","Solyc03g097060.4","-",53986660,53986776,"91,118,97","13,0,0","75,68,50","11,11,12",0.000784443982995847,0.175
105,"SE","Solyc03g097060.4","-",53986617,53986799,"144,190,132","13,0,0","110,93,94","11,11,12",0.000473589743059496,0.136
105,"SE","Solyc03g097060.4","-",53986319,53986799,"144,189,133","13,0,0","112,92,98","11,11,12",0.000559008647397953,0.134
105,"SE","Solyc03g097060.4","-",53986331,53986799,"144,189,132","13,0,0","112,93,96","11,11,12",0.000551883625354705,0.134
120,"SE","Solyc03g097060.4","-",53986617,53986776,"12,8,4","3,6,1","7,6,4","15,16,33",0.000290971364871553,0.443
120,"SE","Solyc03g097060.4","-",53986319,53986776,"12,8,4","3,6,1","7,9,2","15,16,33",0.000696547715781588,0.432
120,"SE","Solyc03g097060.4","-",53986660,53986796,"137,73,89","3,6,1","59,51,44","15,16,33",9.54283642847585e-10,0.365
120,"SE","Solyc03g097060.4","-",53986660,53986776,"144,77,90","3,6,1","64,54,42","15,16,33",2.66852152189623e-09,0.348
120,"SE","Solyc03g097060.4","-",53986319,53986799,"152,150,146","3,6,1","62,91,99","15,16,33",1.98347085882142e-13,0.287
120,"SE","Solyc03g097060.4","-",53986617,53986799,"152,150,146","3,6,1","62,88,101","15,16,33",1.03640819650128e-13,0.287
120,"SE","Solyc03g097060.4","-",53986660,53986799,"283,226,240","3,6,1","120,137,140","15,16,33",2.76541610125386e-14,0.205
90,"SE","Solyc03g097180.3","-",54077086,54077187,"108,182,84","0,0,0","62,53,73","2,7,4",0.000102155810737685,0.105
105,"SE","Solyc03g097180.3","-",54077086,54077187,"89,81,94","0,0,0","99,56,58","6,2,12",1.91109001142233e-06,0.136
50,"SE","Solyc03g097280.4","+",54180087,54180173,"67,99,83","0,6,0","28,34,54","3,8,14",1.42103180275759e-05,0.206
70,"SE","Solyc03g097280.4","+",54180087,54180173,"80,115,79","0,0,0","36,48,66","13,4,10",9.53481583810401e-10,0.224
80,"SE","Solyc03g097280.4","+",54180087,54180173,"83,63,85","2,0,0","63,35,59","0,6,11",0.000178459256890878,0.134
90,"SE","Solyc03g097280.4","+",54180087,54180173,"69,75,73","0,1,0","48,42,45","3,5,4",0.000377432173012832,0.117
30,"SE","Solyc03g110940.3","+",56072371,56072620,"19,34,15","0,0,0","32,31,26","0,9,10",0.000173730045983398,0.267
30,"SE","Solyc03g110940.3","+",56072490,56072620,"29,35,20","0,0,0","26,37,37","0,9,10",0.000124495927436201,0.216
50,"SE","Solyc03g110940.3","+",56072490,56072620,"28,56,28","0,2,0","25,22,5","2,8,5",0.000105816964647917,0.375
50,"SE","Solyc03g110940.3","+",56072371,56072620,"24,55,31","0,2,0","20,31,7","2,8,5",0.000106839890186304,0.342
60,"SE","Solyc03g110940.3","+",56072490,56072692,"19,15,8","0,0,0","17,10,14","6,7,2",2.25215842810151e-06,0.406
60,"SE","Solyc03g110940.3","+",56072371,56072620,"32,36,47","0,0,0","19,32,15","6,7,2",7.78344157977181e-07,0.301
60,"SE","Solyc03g110940.3","+",56072490,56072620,"34,36,52","0,0,0","17,37,24","6,7,2",4.30213719390256e-06,0.265
70,"SE","Solyc03g110940.3","+",56072375,56072620,"28,5,24","0,0,0","7,20,14","6,6,0",9.68140205783454e-05,0.336
70,"SE","Solyc03g110940.3","+",56072371,56072620,"45,18,36","0,0,0","15,25,25","6,6,0",6.40719451816639e-05,0.256
70,"SE","Solyc03g110940.3","+",56072490,56072620,"42,14,32","0,0,0","14,26,24","6,6,0",8.43166841457943e-05,0.249
120,"SE","Solyc03g110940.3","+",56072375,56072620,"37,17,21","0,0,0","9,4,14","14,11,9",0,0.722
120,"SE","Solyc03g110940.3","+",56072371,56072620,"50,23,22","0,0,0","21,13,18","14,11,9",0,0.567
120,"SE","Solyc03g110940.3","+",56072490,56072620,"49,23,26","0,0,0","18,20,22","14,11,9",5.32598656535382e-14,0.511
120,"SE","Solyc03g110940.3","+",56072485,56072620,"376,236,311","0,0,0","156,212,172","14,11,9",8.81364873557147e-12,0.109
120,"SE","Solyc03g110940.3","+",56072375,56072610,"403,278,353","0,0,0","190,214,212","14,11,9",2.07038630546048e-11,0.1
80,"SE","Solyc03g111700.3","+",56763009,56763024,"4,6,19","0,0,0","8,2,3","2,0,6",0.00394750284624916,0.301
90,"SE","Solyc03g111700.3","+",56763009,56763024,"8,18,19","0,1,0","13,3,11","5,7,5",2.62232645864398e-06,0.431
105,"SE","Solyc03g111700.3","+",56763009,56763024,"15,10,13","3,3,1","7,4,3","13,7,1",0.00942113690438651,0.364
5,"SE","Solyc03g112050.4","+",57016549,57016807,"385,378,314","315,281,230","711,732,582","200,162,153",0,-0.267
5,"SE","Solyc03g112050.4","+",57015698,57015760,"212,192,142","240,203,202","316,339,254","135,157,110",0,-0.244
5,"SE","Solyc03g112050.4","+",57015760,57015891,"341,319,278","240,203,202","517,571,473","135,157,110",0,-0.239
